,gen_station,gen_lng,gen_lat,obv_station,obv_lng,obv_lat
淡水3.5萬噸配水池光電站,淡水3.5萬噸配水池光電站,121.45,25.18,鞍部,121.53,25.18
大潭電廠光電站,大潭電廠光電站,121.06,25.03,宜蘭,121.76,24.76
大潭電廠GIS廠房光電站,大潭電廠GIS廠房光電站,121.06,25.03,宜蘭,121.76,24.76
北部儲運中心光電站,北部儲運中心光電站,121.26,24.9,興達,120.21,22.88
中大D/S光電站,中大D/S光電站,121.2,24.97,宜蘭,121.76,24.76
平鎮淨水場光電站,平鎮淨水場光電站,121.2,24.9,興達,120.21,22.88
大湳淨水場光電站,大湳淨水場光電站,121.29,24.96,興達,120.21,22.88
龜山第三加壓站光電站,龜山第三加壓站光電站,121.36,25.05,東莒,119.98,25.97
龍潭淨水場光電站,龍潭淨水場光電站,121.24,24.84,興達,120.21,22.88
龍潭E/S光電站,龍潭E/S光電站,121.09,24.89,恆春,120.75,22.0
竹工E/S光電站,竹工E/S光電站,121.2,24.81,恆春,120.75,22.0
卓蘭會館光電站,卓蘭會館光電站,120.82,24.3,阿里山,120.81,23.51
東興淨水場光電站,東興淨水場光電站,120.92,24.67,恆春,120.75,22.0
后里E/S光電站,后里E/S光電站,120.74,24.31,阿里山,120.81,23.51
中部儲運中心光電站,中部儲運中心光電站,120.73,24.32,阿里山,120.81,23.51
東勢新伯公光電站,東勢新伯公光電站,120.84,24.22,阿里山,120.81,23.51
台中電廠光電站,台中電廠光電站,120.49,24.22,阿里山,120.81,23.51
台中龍井光電站,台中龍井光電站,120.5,24.23,阿里山,120.81,23.51
中科E/S光電站,中科E/S光電站,120.61,24.2,阿里山,120.81,23.51
彰化彰濱光電站,彰化彰濱光電站,120.42,24.11,阿里山,120.81,23.51
彰林E/S光電站,彰林E/S光電站,120.46,23.93,東吉島,119.67,23.26
南投大彎光電站,南投大彎光電站,120.86,23.81,臺東,121.15,22.75
嘉義民雄光電站,嘉義民雄光電站,120.46,23.52,臺中,120.68,24.15
義竹工作站光電站,義竹工作站光電站,120.27,23.37,臺中,120.68,24.15
台南鹽田光電站,台南鹽田光電站,120.11,23.18,高雄,120.31,22.73
台南七股光電站,台南七股光電站,120.14,23.1,高雄,120.31,22.73
台南七股II光電站,台南七股II光電站,120.14,23.1,高雄,120.31,22.73
興達電廠光電站,興達電廠光電站,120.2,22.86,永康,120.24,23.04
永安鹽灘地光電站,永安鹽灘地光電站,120.21,22.84,嘉義,120.43,23.5
高雄保寧光電站,高雄保寧光電站,120.24,22.83,嘉義,120.43,23.5
路北E/S光電站,路北E/S光電站,120.25,22.84,嘉義,120.43,23.5
燕巢倉庫光電站,燕巢倉庫光電站,120.39,22.77,嘉義,120.43,23.5
高雄E/S光電站,高雄E/S光電站,120.29,22.65,嘉義,120.43,23.5
高雄E/S停車棚光電站,高雄E/S停車棚光電站,120.29,22.65,嘉義,120.43,23.5
鳳山水庫光電站,鳳山水庫光電站,120.39,22.55,嘉義,120.43,23.5
核三廠光電站,核三廠光電站,120.75,21.97,成功,121.37,23.1
澎湖七美光電站,澎湖七美光電站,119.43,23.21,澎湖,119.56,23.57
澎湖尖山光電站,澎湖尖山光電站,119.66,23.57,臺南,120.2,22.99
蘭嶼電廠光電站,蘭嶼電廠光電站,121.54,22.03,日月潭,120.91,23.88
蘭嶼貯存場光電站,蘭嶼貯存場光電站,121.56,22.03,日月潭,120.91,23.88
金門金沙光電站,金門金沙光電站,118.4,24.5,田中,120.58,23.87
金門塔山光電站,金門塔山光電站,118.32,24.43,田中,120.58,23.87
金門鵲山光電站,金門鵲山光電站,118.43,24.44,田中,120.58,23.87
馬祖珠山光電站,馬祖珠山光電站,119.94,26.15,豐濱,121.51,23.58
