name,capacity
大湳淨水場光電站,860.16
大潭電廠光電站,651.42
大潭電廠GIS廠房光電站,710.04
中大D,40.25
中科E,198.0
中部儲運中心光電站,91.8
北部儲運中心光電站,907.68
台中電廠光電站,2123.04
台中電廠建物光電站,1095.54
台中電廠GIS廠房光電站,245.52
台中龍井光電站,6485.94
台南七股光電站,1799.5
台南七股II光電站,3299.83
台南鹽田光電站,149999.08
台南鹽田電氣室光電站,97.68
平鎮淨水場光電站,1167.36
永安鹽灘地光電站,4636.8
后里E,91.125
竹工E,228.0
卓蘭會館光電站,41.9
東勢新伯公光電站,115.8
東興淨水場光電站,737.28
金門金沙光電站,528.0
金門塔山光電站,216.0
金門鵲山光電站,47.7
南投大彎光電站,999.6
核三廠光電站,1458.24
馬祖珠山光電站,74.4
高雄保寧光電站,709.13
高雄E,379.96
高雄E,327.36
淡水3.5萬噸配水池光電站,307.2
義竹工作站光電站,300.44
路北E,60.03
嘉義分所光電站,257.52
嘉義民雄光電站,60.0
彰化彰濱光電站,99999.1
彰林E,258.0
鳳山水庫光電站,1999.58
澎湖七美光電站,682.56
澎湖七美光電站,154.56
澎湖尖山小再光電站,745.2
澎湖尖山光電站,70.61
澎湖尖山光電站,70.61
燕巢倉庫光電站,497.96
興達電廠光電站,1627.65
龍潭淨水場光電站,368.64
龍潭E,162.0
龜山第三加壓站光電站,307.2
蘭嶼貯存場光電站,32.4
蘭嶼電廠光電站,28.8
總計,149999.08
