sitename,siteengname,county,township,siteaddress,longitude,latitude,agencyname,twd97lon,twd97lat,twd97tm2x,twd97tm2y,publishagency
蘭嶼,Lanyu,臺東縣,蘭嶼鄉,台東縣蘭嶼鄉紅頭村2號,,,,121.5583420000,22.0369330000,,,交通部中央氣象局
橋頭,Qiaotou,高雄市,橋頭區,高雄市橋頭區隆豐北路1號,,,,120.3056890000,22.7575060000,,,行政院環境保護署
鞍部,Anbu,臺北市,北投區,台北市陽明山竹子湖路111號,,,,121.5296690000,25.1826280000,,,交通部中央氣象局
澎湖,Penghu,澎湖縣,馬公市,澎湖縣馬公市復興里新興路２號,,,,119.5636780000,23.5650110000,,,交通部中央氣象局
臺南,Tainan,臺南市,中西區,臺南市中西區公園路21號,,,,120.2050670000,22.9936420000,,,交通部中央氣象局
臺東,Taitung,臺東縣,台東市,台東縣台東市大同路106號,,,,121.1546940000,22.7523030000,,,交通部中央氣象局
臺北,Taipei,臺北市,中正區,台北市中正區公園路64號,,,,121.5148610000,25.0375830000,,,交通部中央氣象局
臺中,Taichung,臺中市,北區,臺中市北區精武路295號,,,,120.6840830000,24.1457080000,,,交通部中央氣象局
彰化,Changhua,彰化縣,彰化市,彰化縣彰化市文心街55號,,,,120.5415190000,24.0660000000,,,行政院環境保護署
嘉義,Chiayi,嘉義市,西區,嘉義市西區北新里海口寮路56號,,,,120.4329060000,23.4959110000,,,交通部中央氣象局
新營,Xinying,臺南市,新營區,臺南市新營區中正路4號,,,,120.3172500000,23.3056330000,,,行政院環境保護署
新屋,Xinwu,桃園市,新屋區,桃園市新屋區東興路二段946號,,,,121.0354170000,25.0135750000,,,交通部中央氣象局
新竹,Hsinchu,新竹縣,竹北市,新竹縣竹北市光明五街60號,,,,121.0142280000,24.8278190000,,,交通部中央氣象局
塔塔加,Lulin,嘉義縣,阿里山,嘉義縣阿里山鄉中山村六鄰自忠83號,,,,120.8805720000,23.4706080000,,,行政院環境保護署
淡水,Tamsui,新北市,淡水區,新北市淡水區中正東路42巷6號,,,,121.4492390000,25.1645000000,,,行政院環境保護署
基隆,Keelung,基隆市,仁愛區,基隆市仁愛區港西街6號6樓,,,,121.7403280000,25.1329560000,,,交通部中央氣象局
高雄,Kaohsiung,高雄市,前鎮區,高雄市前鎮區漁港南二路4號,,,,120.3157390000,22.5659670000,,,交通部中央氣象局
馬祖,Matsu,連江縣,南竿鄉,連江縣南竿鄉四維村86號,,,,119.9231440000,26.1691920000,,,交通部中央氣象局
桃園,Taoyuan,桃園市,桃園區,桃園市桃園區成功路二段144號,,,,121.3199640000,24.9947890000,,,行政院環境保護署
苗栗,Miaoli,苗栗縣,苗栗市,苗栗市縣府路100號,,,,120.8202000000,24.5652690000,,,行政院環境保護署
恆春,Hengchung,屏東縣,恆春鎮,屏東縣恆春鎮天文路50號,,,,120.7463220000,22.0038470000,,,交通部中央氣象局
屏東,Pingtung,屏東縣,屏東市,屏東市蘇州街75號,,,,120.4880330000,22.6730810000,,,行政院環境保護署
南投,Nantou,南投縣,南投市,南投市南陽路269號,,,,120.6853060000,23.9130000000,,,行政院環境保護署
阿里山,Alishan,嘉義縣,阿里山,嘉義縣阿里山鄉中正村二鄰52號,,,,120.8013940000,23.5085610000,,,行政院環境保護署
金門,Kinmen,金門縣,金城鎮,金門縣金城鎮金水里西海路一段250號,,,,118.2905190000,24.4120220000,,,交通部中央氣象局
花蓮,Hualien,花蓮縣,花蓮市,花蓮縣花蓮市花崗街24號,,,,121.6131500000,23.9750860000,,,交通部中央氣象局
板橋,Banqiao,新北市,板橋區,新北市板橋區文化路一段25號,,,,121.4586670000,25.0129720000,,,行政院環境保護署
宜蘭,Yilan,宜蘭縣,宜蘭市,宜蘭縣宜蘭市力行街3號,,,,121.7565420000,24.7639610000,,,交通部中央氣象局
沙鹿,Shalu,臺中市,沙鹿區,臺中市沙鹿區英才路150號,,,,120.5687940000,24.2256280000,,,行政院環境保護署
朴子,Puzi,嘉義縣,朴子市,嘉義縣朴子市光復路34號,,,,120.2473500000,23.4653080000,,,行政院環境保護署
成功,Chengkung,臺東縣,成功鎮,台東縣成功鎮公民路84號,,,,121.3735190000,23.0974640000,,,交通部中央氣象局
玉山,Yushan,南投縣,信義鄉,南投縣信義鄉東埔村1鄰玉山北峰1號,,,,120.9591580000,23.4869890000,,,交通部中央氣象局
日月潭,"Sun Moon Lake",南投縣,魚池鄉,南投縣魚池鄉水社村中山路270巷14號,,,,120.9139390000,23.8755920000,,,交通部中央氣象局
斗六,Douliu,雲林縣,斗六市,雲林縣斗六市民生路224號,,,,120.5449940000,23.7118530000,,,行政院環境保護署
