,Unnamed: 0,status,StationID,StationName,StationNameEN,StationAltitude,StationLongitude,StationLatitude,CountyName,Location,StationStartDate,StationEndDate,Notes,OriginalStationID,NewStationID
0,0,現存測站,466900,淡水,TAMSUI,19.0,121.448906,25.164888,新北市,淡水區中正東路42巷6號,1942-10-01,,,,
1,1,現存測站,466920,臺北,TAIPEI,5.3,121.514854,25.037659,臺北市,中正區公園路64號,1896-08-11,,1992/02至1997/08因本局改建，觀測地點移至臺北師院(466921)。2014至2015氣候年報之氣壓計海面上高度應為30.3m(2014/10/25搬遷，6.6m->30.3m)。,,
2,2,現存測站,467610,成功,CHENGGONG,33.5,121.37343,23.097486,臺東縣,成功鎮公民路84號,1940-01-01,,,,
3,3,現存測站,466940,基隆,KEELUNG,26.7,121.74048,25.133314,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946-10-01,,,,
4,4,現存測站,467300,東吉島,DONGJIDAO,43.0,119.667465,23.25695,澎湖縣,望安鄉東吉村156號,1963-01-01,,,,
5,5,現存測站,466850,五分山雷達站,WUFENSHAN,756.0,121.781204,25.071182,新北市,瑞芳區靜安路四段1巷1號,1988-07-01,,本站只有雷達觀測資料。,,
6,6,現存測站,467620,蘭嶼,LANYU,324.0,121.55834,22.036968,臺東縣,蘭嶼鄉紅頭村2號,1941-11-01,,,,
7,7,現存測站,466990,花蓮,HUALIEN,16.1,121.61327,23.975128,花蓮縣,花蓮市花崗街24號,1910-11-01,,,,
8,8,現存測站,467441,高雄,Kaohsiung,11.8,120.3125,22.7304,高雄市,楠梓區德民路28號,2022-01-24,,,467440,
9,9,現存測站,467540,大武,DAWU,8.1,120.903786,22.355675,臺東縣,大武鄉大武街115號,1940-01-01,,,,
10,10,現存測站,467420,永康,YONGKANG,8.1,120.2367,23.038385,臺南市,永康區鹽行里正南五街520巷88號,1947-06-01,,,,
11,11,現存測站,467660,臺東,TAITUNG,9.0,121.15459,22.75221,臺東縣,臺東市大同路106號,1901-01-01,,,,
12,12,現存測站,467480,嘉義,CHIAYI,26.9,120.43291,23.495926,嘉義市,西區北新里海口寮路56號,1968-09-01,,,,
13,13,現存測站,467080,宜蘭,YILAN,7.2,121.75653,24.763975,宜蘭縣,宜蘭市力行路150號,1935-12-06,,風速儀高度原為14.8M，1999年9月17日8時變更為26.0M,,
14,14,現存測站,466910,鞍部,ANBU,837.6,121.52973,25.182587,臺北市,北投區陽明山竹子湖路111號,1943-01-01,,,,
15,15,現存測站,466930,竹子湖,ZHUZIHU,607.1,121.54455,25.162079,臺北市,北投區陽明山竹子湖路2號,1943-01-01,,,,
16,16,現存測站,466950,彭佳嶼,PENGJIAYU,101.7,122.07974,25.627975,基隆市,中正區彭佳嶼,1936-05-01,,,,
17,17,現存測站,467410,臺南,TAINAN,40.8,120.20477,22.993238,臺南市,中西區公園路21號,1897-01-01,,1998/05停止觀測，2002/01恢復觀測。2002年至2006年氣候年報之風速儀地上高度應為53.7m。,,
18,18,現存測站,467650,日月潭,SUN MOON LAKE,1017.5,120.90805,23.881325,南投縣,魚池鄉水社村中山路270巷14號,1941-11-01,,,,
19,19,現存測站,466881,新北,New Taipei,24.1,121.52,24.9593,新北市,新店區莒光路29號,2023-01-01,,為臺北氣象站板橋站區(站碼466880)遷移之新站，於2023/01/03上午11時取代舊站開始提供觀測資料。,466880,
20,20,現存測站,467530,阿里山,ALISHAN,2413.4,120.81324,23.508207,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933-04-01,,,,
21,21,現存測站,467571,新竹,HSINCHU,26.9,121.01422,24.827852,新竹縣,竹北市北崙里3鄰光明五街60號,1991-07-01,,,,
22,22,現存測站,467110,金門,KINMEN,47.9,118.28928,24.407307,金門縣,金城鎮金水里西海路一段250號,2004-01-16,,,,
23,23,現存測站,467550,玉山,YUSHAN,3844.8,120.95952,23.487614,南投縣,信義鄉玉山北峰1號,1943-10-01,,,,
24,24,現存測站,467990,馬祖,MATSU,97.8,119.923416,26.16927,連江縣,南竿鄉四維村6鄰88號,2004-01-01,,,,
25,25,現存測站,467350,澎湖,PENGHU,10.7,119.563095,23.565502,澎湖縣,馬公市新興路2號,1896-11-21,,,,
26,26,現存測站,467790,墾丁雷達站,KENTING,42.0,120.80803,21.948235,屏東縣,恆春鎮燈塔路51巷33號,2001-11-01,,本站只有雷達觀測資料。,,
27,27,現存測站,467050,新屋,XINWU,20.6,121.047485,25.006744,桃園市,新屋區東興路二段946號,2013-07-01,,座標及高度於2013/10/09更正。2020/01/01至2020/02/15因施工部分觀測資料缺值。,,
28,28,現存測站,467270,田中,TianZhong,48.6,120.58128,23.873802,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號,2020-04-09,,,,
29,29,現存測站,467490,臺中,TAICHUNG,84.0,120.684074,24.145737,臺中市,北區精武路295號,1897-01-01,,2000年至2006年氣候年報之海拔高度誤植為34m。,,
30,30,現存測站,467590,恆春,HENGCHUN,22.3,120.74634,22.003897,屏東縣,恆春鎮天文路50號,1896-11-20,,,,
